Year,State,Year,Median Age,Average Household Income,Average Per Capita Income
2016,Alabama,2016.0,40.25074626865672,38834.92537313433,21232.746268656716
2016,Alaska,2016.0,36.62413793103448,64801.65517241379,31052.103448275862
2016,Arizona,2016.0,39.61333333333333,44166.53333333333,21786.333333333332
2016,Arkansas,2016.0,41.14,37503.72,20591.666666666668
2016,California,2016.0,39.28103448275862,58091.24137931035,29025.793103448275
